id_log,id_user,action_type,table_name,action_date,description
1,489,SELECT,Patients,2025-08-06,User 489 performed SELECT on Patients.
2,438,DELETE,Users,2025-05-18,User 438 performed DELETE on Users.
3,526,LOGIN,Appointments,2022-02-28,User 526 performed LOGIN on Appointments.
4,581,LOGIN,Medical_staff,2022-04-12,User 581 performed LOGIN on Medical_staff.
5,1075,INSERT,Consultations,2022-03-10,User 1075 performed INSERT on Consultations.
6,12,SELECT,Users,2024-03-31,User 12 performed SELECT on Users.
7,1108,INSERT,Appointments,2023-01-21,User 1108 performed INSERT on Appointments.
8,391,INSERT,Notifications,2024-08-21,User 391 performed INSERT on Notifications.
9,345,SELECT,Notifications,2023-08-13,User 345 performed SELECT on Notifications.
10,36,LOGOUT,Appointments,2025-12-20,User 36 performed LOGOUT on Appointments.
11,99,SELECT,Users,2022-01-06,User 99 performed SELECT on Users.
12,690,LOGIN,Patients,2025-09-04,User 690 performed LOGIN on Patients.
13,882,DELETE,Patients,2024-11-22,User 882 performed DELETE on Patients.
14,237,INSERT,Notifications,2024-07-05,User 237 performed INSERT on Notifications.
15,226,INSERT,Consultations,2024-06-23,User 226 performed INSERT on Consultations.
16,770,DELETE,Consultations,2022-02-06,User 770 performed DELETE on Consultations.
17,668,LOGIN,Medical_records,2022-02-22,User 668 performed LOGIN on Medical_records.
18,1107,SELECT,Users,2023-03-17,User 1107 performed SELECT on Users.
19,1022,DELETE,Medical_staff,2023-12-26,User 1022 performed DELETE on Medical_staff.
20,732,LOGOUT,Appointments,2025-05-01,User 732 performed LOGOUT on Appointments.
21,386,INSERT,Users,2026-02-05,User 386 performed INSERT on Users.
22,891,SELECT,Users,2023-06-09,User 891 performed SELECT on Users.
23,1157,UPDATE,Medical_staff,2024-08-04,User 1157 performed UPDATE on Medical_staff.
24,1045,INSERT,Medical_records,2026-04-24,User 1045 performed INSERT on Medical_records.
25,841,LOGIN,Consultations,2022-01-15,User 841 performed LOGIN on Consultations.
26,961,LOGOUT,Notifications,2025-12-14,User 961 performed LOGOUT on Notifications.
27,489,UPDATE,Patients,2022-06-15,User 489 performed UPDATE on Patients.
28,951,INSERT,Appointments,2022-02-16,User 951 performed INSERT on Appointments.
29,1005,LOGOUT,Consultations,2024-08-08,User 1005 performed LOGOUT on Consultations.
30,868,UPDATE,Appointments,2026-01-11,User 868 performed UPDATE on Appointments.
31,354,DELETE,Users,2024-12-23,User 354 performed DELETE on Users.
32,1115,INSERT,Consultations,2025-08-17,User 1115 performed INSERT on Consultations.
33,239,UPDATE,AI_Diagnosis,2024-08-06,User 239 performed UPDATE on AI_Diagnosis.
34,858,INSERT,Users,2022-07-15,User 858 performed INSERT on Users.
35,1118,INSERT,AI_Diagnosis,2024-10-26,User 1118 performed INSERT on AI_Diagnosis.
36,545,DELETE,Medical_records,2023-06-24,User 545 performed DELETE on Medical_records.
37,797,SELECT,Notifications,2025-12-04,User 797 performed SELECT on Notifications.
38,40,INSERT,Medical_staff,2025-09-10,User 40 performed INSERT on Medical_staff.
39,285,DELETE,AI_Diagnosis,2024-04-22,User 285 performed DELETE on AI_Diagnosis.
40,647,SELECT,Consultations,2023-01-12,User 647 performed SELECT on Consultations.
41,694,DELETE,Medical_staff,2023-12-18,User 694 performed DELETE on Medical_staff.
42,1117,DELETE,AI_Diagnosis,2025-03-09,User 1117 performed DELETE on AI_Diagnosis.
43,723,INSERT,Notifications,2022-05-11,User 723 performed INSERT on Notifications.
44,521,LOGIN,Patients,2022-05-17,User 521 performed LOGIN on Patients.
45,542,INSERT,Patients,2023-11-17,User 542 performed INSERT on Patients.
46,622,LOGOUT,Medical_staff,2023-09-30,User 622 performed LOGOUT on Medical_staff.
47,1171,SELECT,Medical_records,2025-08-22,User 1171 performed SELECT on Medical_records.
48,767,UPDATE,Consultations,2024-05-12,User 767 performed UPDATE on Consultations.
49,716,UPDATE,AI_Diagnosis,2026-05-09,User 716 performed UPDATE on AI_Diagnosis.
50,445,LOGIN,Patients,2024-07-25,User 445 performed LOGIN on Patients.
51,827,SELECT,Notifications,2024-09-22,User 827 performed SELECT on Notifications.
52,731,LOGOUT,Medical_records,2023-06-10,User 731 performed LOGOUT on Medical_records.
53,610,UPDATE,Patients,2023-05-08,User 610 performed UPDATE on Patients.
54,213,DELETE,AI_Diagnosis,2025-04-21,User 213 performed DELETE on AI_Diagnosis.
55,1012,INSERT,Notifications,2023-12-12,User 1012 performed INSERT on Notifications.
56,1142,INSERT,Consultations,2022-09-26,User 1142 performed INSERT on Consultations.
57,569,DELETE,Patients,2024-08-26,User 569 performed DELETE on Patients.
58,897,LOGIN,Appointments,2024-06-11,User 897 performed LOGIN on Appointments.
59,459,DELETE,Patients,2025-10-15,User 459 performed DELETE on Patients.
60,864,LOGOUT,Patients,2022-07-30,User 864 performed LOGOUT on Patients.
61,1165,UPDATE,Medical_records,2024-07-30,User 1165 performed UPDATE on Medical_records.
62,246,SELECT,Notifications,2022-12-17,User 246 performed SELECT on Notifications.
63,423,LOGIN,Appointments,2024-01-04,User 423 performed LOGIN on Appointments.
64,370,SELECT,Patients,2022-06-23,User 370 performed SELECT on Patients.
65,945,LOGOUT,AI_Diagnosis,2022-12-22,User 945 performed LOGOUT on AI_Diagnosis.
66,854,DELETE,Users,2024-10-31,User 854 performed DELETE on Users.
67,138,UPDATE,Medical_records,2024-06-09,User 138 performed UPDATE on Medical_records.
68,202,UPDATE,Users,2025-09-04,User 202 performed UPDATE on Users.
69,533,UPDATE,AI_Diagnosis,2022-01-12,User 533 performed UPDATE on AI_Diagnosis.
