id_notification,id_user,title,message,type,is_read,created_at
1,852,Test Results Ready,Test Results Ready: Please check your patient portal for details.,reminder,False,2024-02-17
2,1135,Health Tip,Health Tip: Please check your patient portal for details.,warning,True,2023-10-07
3,510,Follow-up Required,Follow-up Required: Please check your patient portal for details.,reminder,True,2024-03-23
4,715,Payment Due,Payment Due: Please check your patient portal for details.,alert,True,2023-09-29
5,1073,System Update,System Update: Please check your patient portal for details.,alert,False,2025-09-18
6,755,Follow-up Required,Follow-up Required: Please check your patient portal for details.,warning,True,2024-03-28
7,1121,Appointment Reminder,Appointment Reminder: Please check your patient portal for details.,info,True,2024-04-21
8,956,Payment Due,Payment Due: Please check your patient portal for details.,info,True,2025-01-18
9,936,New Message from Doctor,New Message from Doctor: Please check your patient portal for details.,info,True,2024-09-28
10,183,Lab Results Available,Lab Results Available: Please check your patient portal for details.,info,False,2025-12-18
11,222,Payment Due,Payment Due: Please check your patient portal for details.,warning,True,2023-05-22
12,725,Consultation Scheduled,Consultation Scheduled: Please check your patient portal for details.,reminder,True,2026-01-28
13,151,Lab Results Available,Lab Results Available: Please check your patient portal for details.,reminder,False,2025-04-09
14,692,Appointment Reminder,Appointment Reminder: Please check your patient portal for details.,info,False,2024-02-18
15,919,Test Results Ready,Test Results Ready: Please check your patient portal for details.,info,False,2025-06-18
16,281,Lab Results Available,Lab Results Available: Please check your patient portal for details.,reminder,True,2023-03-20
17,1141,Lab Results Available,Lab Results Available: Please check your patient portal for details.,info,True,2026-03-30
18,543,Follow-up Required,Follow-up Required: Please check your patient portal for details.,warning,True,2023-03-14
19,285,New Message from Doctor,New Message from Doctor: Please check your patient portal for details.,alert,True,2023-10-11
20,29,Payment Due,Payment Due: Please check your patient portal for details.,reminder,False,2026-03-04
21,593,Prescription Renewal,Prescription Renewal: Please check your patient portal for details.,alert,False,2024-01-22
22,1134,Appointment Reminder,Appointment Reminder: Please check your patient portal for details.,warning,False,2024-02-09
23,338,Payment Due,Payment Due: Please check your patient portal for details.,alert,False,2024-04-08
24,206,Lab Results Available,Lab Results Available: Please check your patient portal for details.,reminder,True,2023-06-12
25,126,New Message from Doctor,New Message from Doctor: Please check your patient portal for details.,reminder,True,2026-05-07
26,1031,New Message from Doctor,New Message from Doctor: Please check your patient portal for details.,info,False,2023-08-11
27,546,Prescription Renewal,Prescription Renewal: Please check your patient portal for details.,alert,False,2023-10-02
28,453,Appointment Reminder,Appointment Reminder: Please check your patient portal for details.,alert,False,2025-02-20
29,230,Follow-up Required,Follow-up Required: Please check your patient portal for details.,warning,True,2025-11-02
30,130,Payment Due,Payment Due: Please check your patient portal for details.,alert,False,2023-10-03
31,1107,System Update,System Update: Please check your patient portal for details.,reminder,False,2023-04-15
32,729,Health Tip,Health Tip: Please check your patient portal for details.,reminder,False,2024-06-15
33,505,Health Tip,Health Tip: Please check your patient portal for details.,reminder,False,2024-11-19
34,274,Health Tip,Health Tip: Please check your patient portal for details.,alert,True,2024-09-17
35,684,System Update,System Update: Please check your patient portal for details.,alert,True,2024-01-19
36,590,Test Results Ready,Test Results Ready: Please check your patient portal for details.,reminder,False,2023-02-24
37,573,Prescription Renewal,Prescription Renewal: Please check your patient portal for details.,info,True,2023-01-20
38,231,Follow-up Required,Follow-up Required: Please check your patient portal for details.,alert,True,2023-08-13
39,970,New Message from Doctor,New Message from Doctor: Please check your patient portal for details.,reminder,False,2025-01-31
40,428,System Update,System Update: Please check your patient portal for details.,info,False,2025-06-20
41,1120,Payment Due,Payment Due: Please check your patient portal for details.,alert,True,2025-06-01
